"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Agiaon,195,SC,Bhojpur,Mahesh Paswan,Bharatiya Janta Party,260696,149923,57.5 %,95,0.1%
Alamnagar,70,GEN,Madhepura,Narendra Narayan Yadav,Janata Dal (United),359379,248422,69.1 %,55465,22.3%
Alauli,148,SC,Khagaria,Ram Chandra Sada,Janata Dal (United),265486,175494,66.1 %,35732,20.4%
Alinagar,81,GEN,Darbhanga,Maithili Thakur,Bharatiya Janta Party,284522,168366,59.2 %,11730,7.0%
Amarpur,159,GEN,Banka,Jayant Raj,Janata Dal (United),297239,188230,63.3 %,33221,17.6%
Amnour,120,GEN,Saran,Krishan Kumar Mantoo,Bharatiya Janta Party,249311,165912,66.5 %,3808,2.3%
Amour,56,GEN,Purnia,Akhtarul Iman,All India Majlis-E-Ittehadul Muslimeen,309976,228621,73.8 %,38928,17.0%
Araria,49,GEN,Araria,Abidur Rahman,Indian National Congress,330067,238475,72.3 %,12741,5.3%
Arrah,194,GEN,Bhojpur,Sanjay Singh (TIGER),Bharatiya Janta Party,323376,180624,55.9 %,19581,10.8%
Arwal,214,GEN,Arwal,Manoj Kumar,Bharatiya Janta Party,265891,169684,63.8 %,14093,8.3%
Asthawan,171,GEN,Nalanda,Jitendra Kumar,Janata Dal (United),301833,167149,55.4 %,40708,24.4%
Atri,233,GEN,Gaya,Romit Kumar,Hindustani Awam Morcha (Secular),306083,194129,63.4 %,25777,13.3%
Aurai,89,GEN,Muzaffarpur,Rama Nishad,Bharatiya Janta Party,309780,204477,66.0 %,57206,28.0%
Aurangabad,223,GEN,Aurangabad,Trivikram Narayan Singh,Bharatiya Janta Party,311172,197642,63.5 %,6794,3.4%
Babubarhi,34,GEN,Madhubani,Mina Kumari,Janata Dal (United),306124,201074,65.7 %,17568,8.7%
Bachhwara,142,GEN,Begusarai,Surendra Mehta,Bharatiya Janta Party,310439,220954,71.2 %,15841,7.2%
Bagaha,4,GEN,Pashchim Champaran,Ram Singh,Bharatiya Janta Party,316629,222273,70.2 %,6313,2.8%
Bahadurganj,52,GEN,Kishanganj,Md Tauseef Alam,All India Majlis-E-Ittehadul Muslimeen,287638,213268,74.1 %,28726,13.5%
Bahadurpur,85,GEN,Darbhanga,Madan Sahni,Janata Dal (United),300455,210870,70.2 %,12011,5.7%
Baikunthpur,99,GEN,Gopalganj,Mithilesh Tiwari,Bharatiya Janta Party,306090,210269,68.7 %,16953,8.1%
Baisi,57,GEN,Purnia,Ghulam Sarwar,All India Majlis-E-Ittehadul Muslimeen,285163,221170,77.6 %,27251,12.3%
Bajpatti,27,GEN,Sitamarhi,Rameshwar Kumar Mehto,Rashtriya Lok Morcha,331131,217938,65.8 %,3395,1.6%
Bakhri,147,SC,Begusarai,Sanjay Kumar,Lok Janshakti Party(Ram Vilas),293514,202964,69.1 %,17318,8.5%
Bakhtiarpur,180,GEN,Patna,Arun Kumar S/o Satrughan Sao,Lok Janshakti Party(Ram Vilas),296380,192465,64.9 %,981,0.5%
Balrampur,65,GEN,Katihar,Sangita Devi,Lok Janshakti Party(Ram Vilas),346388,273889,79.1 %,389,0.1%
Baniapur,115,GEN,Saran,Kedar Nath Singh,Bharatiya Janta Party,315040,195542,62.1 %,15436,7.9%
Banka,161,GEN,Banka,Ram Narayan Mandal,Bharatiya Janta Party,258822,191259,73.9 %,23764,12.4%
Bankipur,182,GEN,Patna,Nitin Nabin,Bharatiya Janta Party,378268,155421,41.1 %,51936,33.4%
Banmankhi,59,SC,Purnia,Krishna Kumar Rishi,Bharatiya Janta Party,299714,209677,70.0 %,45296,21.6%
Barachatti,228,SC,Gaya,Jyoti Devi,Hindustani Awam Morcha (Secular),309040,223906,72.5 %,8893,4.0%
Barari,68,GEN,Katihar,Bijay Singh,Janata Dal (United),278558,225547,81.0 %,10984,4.9%
Barauli,100,GEN,Gopalganj,Manjeet Kumar Singh,Janata Dal (United),282306,190171,67.4 %,12374,6.5%
Barbigha,170,GEN,Sheikhpura,Dr. Kumar Puspanjay,Janata Dal (United),231203,138217,59.8 %,25493,18.4%
Barh,179,GEN,Patna,Siyaram Singh,Bharatiya Janta Party,290937,185759,63.8 %,24813,13.4%
Barhara,193,GEN,Bhojpur,Raghvendra Pratap Singh,Bharatiya Janta Party,305572,178625,58.5 %,14403,8.1%
Barharia,110,GEN,Siwan,Indradev Singh,Janata Dal (United),308811,193063,62.5 %,12136,6.3%
Baruraj,96,GEN,Muzaffarpur,Arun Kumar Singh,Bharatiya Janta Party,276766,200583,72.5 %,29052,14.5%
Bathnaha,24,SC,Sitamarhi,Anil Kumar,Bharatiya Janta Party,316191,211449,66.9 %,51769,24.5%
Begusarai,146,GEN,Begusarai,Kundan Kumar,Bharatiya Janta Party,340777,224887,66.0 %,30632,13.6%
Belaganj,232,GEN,Gaya,Manorma Devi,Janata Dal (United),275570,201945,73.3 %,2882,1.4%
Beldaur,150,GEN,Khagaria,Panna Lal Singh Patel,Janata Dal (United),322348,209436,65.0 %,35175,16.8%
Belhar,163,GEN,Banka,Manoj Yadav,Janata Dal (United),318824,222310,69.7 %,37206,16.7%
Belsand,30,GEN,Sitamarhi,Amit Kumar,Lok Janshakti Party(Ram Vilas),260314,176962,68.0 %,22685,12.8%
Benipatti,32,GEN,Madhubani,Vinod Narayan Jha,Bharatiya Janta Party,288222,173107,60.1 %,23932,13.8%
Benipur,80,GEN,Darbhanga,Binay Kumar Choudhary,Janata Dal (United),299568,185258,61.8 %,13603,7.3%
Bettiah,8,GEN,Pashchim Champaran,Renu Devi,Bharatiya Janta Party,290424,194483,67.0 %,22373,11.5%
Bhabua,205,GEN,Kaimur (Bhabua),Bharat Bind,Bharatiya Janta Party,279127,191031,68.4 %,24415,12.8%
Bhagalpur,156,GEN,Bhagalpur,Rohit Pandey,Bharatiya Janta Party,344149,195172,56.7 %,13474,6.9%
Bhorey,103,SC,Gopalganj,Sunil Kumar,Janata Dal (United),335841,205604,61.2 %,16163,7.9%
Bibhutipur,138,GEN,Samastipur,Ajay Kumar,Communist Party Of India (Marxist),273894,191511,69.9 %,10281,5.4%
Bihariganj,71,GEN,Madhepura,Niranjan Kumar Mehta,Janata Dal (United),326795,217831,66.7 %,31622,14.5%
Biharsharif,172,GEN,Nalanda,Dr. Sunil Kumar,Bharatiya Janta Party,388095,211495,54.5 %,29168,13.8%
Bihpur,152,GEN,Bhagalpur,Kumar Shailendra,Bharatiya Janta Party,263294,171286,65.1 %,30025,17.5%
Bikram,191,GEN,Patna,Siddharth Saurav,Bharatiya Janta Party,307636,211864,68.9 %,5601,2.6%
Bisfi,35,GEN,Madhubani,Asif Ahmad,Rashtriya Janata Dal,326870,205654,62.9 %,8107,3.9%
Bochaha,91,SC,Muzaffarpur,Baby Kumari,Lok Janshakti Party(Ram Vilas),283988,215038,75.7 %,20316,9.4%
Bodh Gaya,229,SC,Gaya,Kumar Sarvjeet,Rashtriya Janata Dal,325242,225113,69.2 %,881,0.4%
Brahampur,199,GEN,Buxar,Shambhu Nath Yadav,Rashtriya Janata Dal,341380,204064,59.8 %,3220,1.6%
Buxar,200,GEN,Buxar,Anand Mishra,Bharatiya Janta Party,285544,187262,65.6 %,28353,15.1%
Chainpur,206,GEN,Kaimur (Bhabua),Md. Zama Khan,Janata Dal (United),327789,227759,69.5 %,8362,3.7%
Chakai,243,GEN,Jamui,Savitri Devi,Rashtriya Janata Dal,318581,228341,71.7 %,12972,5.7%
Chanpatia,7,GEN,Pashchim Champaran,Abhishek Ranjan,Indian National Congress,291944,215846,73.9 %,602,0.3%
Chapra,118,GEN,Saran,Chhoti Kumari,Bharatiya Janta Party,323381,186683,57.7 %,7600,4.1%
Chenari,207,SC,Rohtas,Murari Prasad Gautam,Lok Janshakti Party(Ram Vilas),306648,203465,66.4 %,21988,10.8%
Cheria Bariarpur,141,GEN,Begusarai,Abhishek Anand,Janata Dal (United),270925,186165,68.7 %,4119,2.2%
Chhatapur,45,GEN,Supaul,Niraj Kumar Singh,Bharatiya Janta Party,333086,244292,73.3 %,16178,6.6%
Chiraia,20,GEN,Purba Champaran,Lal Babu Prasad Gupta,Bharatiya Janta Party,287911,195944,68.1 %,39360,20.1%
Danapur,186,GEN,Patna,Ram Kripal Yadav,Bharatiya Janta Party,374193,217065,58.0 %,29133,13.4%
Darauli,107,SC,Siwan,Vishnu Deo Paswan,Lok Janshakti Party(Ram Vilas),305630,170667,55.8 %,9572,5.6%
Daraundha,109,GEN,Siwan,Karnjeet Singh Alias Vyas Singh,Bharatiya Janta Party,313864,179985,57.3 %,18367,10.2%
Darbhanga,83,GEN,Darbhanga,Sanjay Saraogi,Bharatiya Janta Party,324144,194768,60.1 %,24593,12.6%
Darbhanga Rural,82,GEN,Darbhanga,Rajesh Kumar Mandal,Janata Dal (United),288816,178532,61.8 %,18392,10.3%
Dehri,212,GEN,Rohtas,Rajeev Ranjan Singh,Lok Janshakti Party(Ram Vilas),297028,189187,63.7 %,35968,19.0%
Dhaka,21,GEN,Purba Champaran,Faisal Rahman,Rashtriya Janata Dal,333954,243533,72.9 %,178,0.1%
Dhamdaha,61,GEN,Purnia,Leshi Singh,Janata Dal (United),312770,235284,75.2 %,55159,23.4%
Dhauraiya,160,SC,Banka,Manish Kumar,Janata Dal (United),306148,217668,71.1 %,22426,10.3%
Digha,181,GEN,Patna,Sanjiv Chaurasia,Bharatiya Janta Party,456448,193040,42.3 %,59079,30.6%
Dinara,210,GEN,Rohtas,Alok Kumar Singh,Rashtriya Lok Morcha,304267,185433,60.9 %,10834,5.8%
Dumraon,201,GEN,Buxar,Rahul Kumar Singh,Janata Dal (United),321712,193648,60.2 %,2105,1.1%
Ekma,113,GEN,Saran,Manoranjan Singh,Janata Dal (United),289848,164826,56.9 %,22708,13.8%
Fatuha,185,GEN,Patna,Dr. Ramanand Yadav,Rashtriya Janata Dal,284661,194242,68.2 %,7992,4.1%
Forbesganj,48,GEN,Araria,Manoj Bishwas,Indian National Congress,357856,248325,69.4 %,221,0.1%
Gaighat,88,GEN,Muzaffarpur,Komal Singh,Janata Dal (United),320178,219991,68.7 %,23417,10.6%
Garkha,119,SC,Saran,Surendra Ram,Rashtriya Janata Dal,309358,200880,64.9 %,12804,6.4%
Gaura Bauram,79,GEN,Darbhanga,Sujit Kumar,Bharatiya Janta Party,260766,164560,63.1 %,5669,3.4%
Gaya Town,230,GEN,Gaya,Prem Kumar,Bharatiya Janta Party,278559,166322,59.7 %,26423,15.9%
Ghosi,217,GEN,Jehanabad,Rituraj Kumar,Janata Dal (United),258378,168519,65.2 %,11929,7.1%
Gobindpur,238,GEN,Nawada,Binita Mehta,Lok Janshakti Party(Ram Vilas),313954,176496,56.2 %,22906,13.0%
Goh,219,GEN,Aurangabad,Amrendra Kumar,Rashtriya Janata Dal,311604,207020,66.4 %,4041,2.0%
Gopalganj,101,GEN,Gopalganj,Subhash Singh,Bharatiya Janta Party,295261,196635,66.6 %,28972,14.7%
Gopalpur,153,GEN,Bhagalpur,Shailesh Kumar Alias Bulo Mandal,Janata Dal (United),275102,186620,67.8 %,58135,31.2%
Goriakothi,111,GEN,Siwan,Devesh Kant Singh,Bharatiya Janta Party,329537,209690,63.6 %,12385,5.9%
Govindganj,14,GEN,Purba Champaran,Raju Tiwari,Lok Janshakti Party(Ram Vilas),263232,179830,68.3 %,32683,18.2%
Gurua,225,GEN,Gaya,Upendra Prasad,Bharatiya Janta Party,283989,199562,70.3 %,24194,12.1%
Hajipur,123,GEN,Vaishali,Awadhesh Singh,Bharatiya Janta Party,333914,222861,66.7 %,18509,8.3%
Harlakhi,31,GEN,Madhubani,Sudhanshu Shekhar,Janata Dal (United),274256,176459,64.3 %,36236,20.5%
Harnaut,177,GEN,Nalanda,Hari Narayan Singh,Janata Dal (United),317971,186782,58.7 %,48335,25.9%
Harsidhi,13,SC,Purba Champaran,Krishnanandan Paswan,Bharatiya Janta Party,273087,199753,73.1 %,7095,3.6%
Hasanpur,140,GEN,Samastipur,Raj Kumar Ray,Janata Dal (United),288306,200699,69.6 %,7914,3.9%
Hathua,104,GEN,Gopalganj,Ramsewak Singh,Janata Dal (United),289466,192964,66.7 %,12348,6.4%
Hayaghat,84,GEN,Darbhanga,Ram Chandra Prasad,Bharatiya Janta Party,252592,166268,65.8 %,11839,7.1%
Hilsa,175,GEN,Nalanda,Krishna Murari Sharan,Janata Dal (United),303198,189205,62.4 %,16012,8.5%
Hisua,236,GEN,Nawada,Anil Singh,Bharatiya Janta Party,366386,211004,57.6 %,27849,13.2%
Imamganj,227,SC,Gaya,Deepa Kumari,Hindustani Awam Morcha (Secular),300888,202685,67.4 %,25856,12.8%
Islampur,174,GEN,Nalanda,Ruhail Ranjan,Janata Dal (United),300911,183132,60.9 %,32239,17.6%
Jagdishpur,197,GEN,Bhojpur,Sribhagwan Singh Kushwaha,Janata Dal (United),302958,184289,60.8 %,18193,9.9%
Jale,87,GEN,Darbhanga,Jibesh Kumar,Bharatiya Janta Party,313683,197557,63.0 %,21862,11.1%
Jamalpur,166,GEN,Munger,Nachiketa,Janata Dal (United),327989,199645,60.9 %,36228,18.1%
Jamui,241,GEN,Jamui,Shreyasi Singh,Bharatiya Janta Party,310931,214560,69.0 %,54498,25.4%
Jehanabad,216,GEN,Jehanabad,Rahul Kumar,Rashtriya Janata Dal,300575,188964,62.9 %,793,0.4%
Jhajha,242,GEN,Jamui,Damodar Rawat,Janata Dal (United),338667,239247,70.6 %,4262,1.8%
Jhanjharpur,38,GEN,Madhubani,Nitish Mishra,Bharatiya Janta Party,318968,190044,59.6 %,54849,28.9%
Jokihat,50,GEN,Araria,Mohammad Murshid Alam,All India Majlis-E-Ittehadul Muslimeen,302334,213382,70.6 %,28803,13.5%
Kadwa,64,GEN,Katihar,Dulal Chandra Goswami,Janata Dal (United),278991,209337,75.0 %,18368,8.8%
Kahalgaon,155,GEN,Bhagalpur,Shubhanand Mukesh,Janata Dal (United),342804,248734,72.6 %,50112,20.1%
Kalyanpur,16,GEN,Purba Champaran,Sachindra Prasad Singh,Bharatiya Janta Party,255066,182955,71.7 %,15568,8.5%
Kalyanpur,131,SC,Samastipur,Maheshwar Hazari,Janata Dal (United),323190,231041,71.5 %,38586,16.7%
Kanti,95,GEN,Muzaffarpur,Ajit Kumar,Janata Dal (United),317569,224777,70.8 %,25795,11.5%
Karakat,213,GEN,Rohtas,Arun Singh (VILL-AJNAP TOLA),Communist Party Of India (Marxist-Leninist) (Liberation),328434,191950,58.4 %,2836,1.5%
Kargahar,209,GEN,Rohtas,Bashisth Singh,Janata Dal (United),328327,216551,66.0 %,35676,16.5%
Kasba,58,GEN,Purnia,Nitesh Kumar Singh,Lok Janshakti Party(Ram Vilas),285665,231959,81.2 %,12875,5.6%
